Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
0,2M CAL,146.520000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
1,WA2IAF,146.880000,-,0.600000,Tone,141.3,88.5,023,NN,FM,5.00,,,,,,
2,WA2JSB,146.415000,+,1.000000,Tone,85.4,88.5,023,NN,FM,5.00,,,,,,
3,NE2S,146.595000,+,1.000000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
4,K2MFF,147.225000,+,0.600000,Tone,141.3,88.5,023,NN,FM,5.00,,,,,,
5,WB2MFC,147.285000,+,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
6,KB2RQE,145.310000,-,0.600000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
7,W2ODV,145.430000,-,0.600000,Tone,123.0,88.5,023,NN,FM,5.00,,,,,,
8,W2MER,147.105000,+,0.600000,Tone,123.0,88.5,023,NN,FM,5.00,,,,,,
9,K2GE,146.760000,-,0.600000,Tone,156.7,88.5,023,NN,FM,5.00,,,,,,
10,W2CJA,147.120000,+,0.600000,Tone,162.2,88.5,023,NN,FM,5.00,,,,,,
11,N2DR,145.485000,-,0.600000,Tone,151.4,88.5,023,NN,FM,5.00,,,,,,
12,WS2Q,145.370000,-,0.600000,Tone,151.4,88.5,023,NN,FM,5.00,,,,,,
13,WS2Q,146.895000,-,0.600000,Tone,151.4,88.5,023,NN,FM,5.00,,,,,,
14,WB2BQW,145.250000,-,0.600000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
15,W2QW,146.625000,-,0.600000,Tone,103.5,88.5,023,NN,FM,5.00,,,,,,
16,K2ETS,146.940000,-,0.600000,Tone,141.3,88.5,023,NN,FM,5.00,,,,,,
17,W2JDS,145.410000,-,0.600000,Tone,107.2,88.5,023,NN,FM,5.00,,,,,,
18,WA2ZDN,146.685000,-,0.600000,Tone,123.0,88.5,023,NN,FM,5.00,,,,,,
19,W2LI,147.255000,+,0.600000,Tone,141.3,88.5,023,NN,FM,5.00,,,,,,
20,WA2BAT,147.505000,-,1.000000,Tone,123.0,88.5,023,NN,FM,5.00,,,,,,
21,K2NJ,147.135000,+,0.600000,Tone,151.4,88.5,023,NN,FM,5.00,,,,,,
22,N2RE,146.460000,+,0.600000,Tone,131.8,88.5,023,NN,FM,5.00,,,,,,
23,W2RLA,145.350000,-,0.600000,Tone,114.8,88.5,023,NN,FM,5.00,,,,,,
24,W2NJR,147.285000,+,0.600000,Tone,141.3,88.5,023,NN,FM,5.00,,,,,,
25,K2DCG,147.210000,+,0.600000,Tone,88.5,88.5,023,NN,FM,5.00,,,,,,
26,KD2HQY,145.120000,-,0.600000,Tone,91.5,88.5,023,NN,FM,5.00,,,,,,
27,NJ2SP,146.970000,-,0.600000,Tone,97.4,88.5,023,NN,FM,5.00,,,,,,
39,70CM C,446.000000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
40,N2MCC,448.425000,-,5.000000,Tone,141.3,88.5,023,NN,FM,5.00,,,,,,
41,WB2HKK,444.050000,+,5.000000,Tone,141.3,88.5,023,NN,FM,5.00,,,,,,
42,KB2EA,442.800000,+,5.000000,Tone,71.9,88.5,023,NN,FM,5.00,,,,,,
43,W2CWW,445.325000,-,5.000000,Tone,156.7,88.5,023,NN,FM,5.00,,,,,,
44,N2EHN,445.575000,-,5.000000,Tone,141.3,88.5,023,NN,FM,5.00,,,,,,
45,KA2PBT,445.825000,-,5.000000,Tone,156.7,88.5,023,NN,FM,5.00,,,,,,
46,WA2IAF,447.375000,-,5.000000,Tone,141.3,88.5,023,NN,FM,5.00,,,,,,
47,N2IXU,448.475000,-,5.000000,Tone,94.8,88.5,023,NN,FM,5.00,,,,,,
48,N2BBO,445.875000,-,5.000000,Tone,136.5,88.5,023,NN,FM,5.00,,,,,,
49,KB2NQT,447.075000,-,5.000000,Tone,114.8,88.5,023,NN,FM,5.00,,,,,,
50,KC2JES,441.250000,+,5.000000,Tone,127.3,88.5,023,NN,FM,5.00,,,,,,
51,W2FCL,442.550000,+,5.000000,Tone,141.3,88.5,023,NN,FM,5.00,,,,,,
52,N2MH,442.600000,+,5.000000,Tone,141.3,88.5,023,NN,FM,5.00,,,,,,
53,N2NSS,446.125000,-,5.000000,Tone,162.2,88.5,023,NN,FM,5.00,,,,,,
54,N2BEI,446.900000,-,5.000000,Tone,141.3,88.5,023,NN,FM,5.00,,,,,,
55,WA2JSB,447.875000,-,5.000000,Tone,156.7,88.5,023,NN,FM,5.00,,,,,,
56,W2UHF,448.875000,-,5.000000,Tone,151.4,88.5,023,NN,FM,5.00,,,,,,
57,NY4Z,440.625000,+,5.000000,Tone,74.4,88.5,023,NN,FM,5.00,,,,,,
58,N2DCS,441.200000,+,5.000000,Tone,192.8,88.5,023,NN,FM,5.00,,,,,,
59,KC2IES,441.550000,+,5.000000,Tone,88.5,88.5,023,NN,FM,5.00,,,,,,
60,W2ZQ,442.650000,+,5.000000,Tone,131.8,88.5,023,NN,FM,5.00,,,,,,
61,WB2FYF,440.250000,+,5.000000,Tone,141.3,88.5,023,NN,FM,5.00,,,,,,
62,NE2E,440.450000,+,5.000000,Tone,123.0,88.5,023,NN,FM,5.00,,,,,,
63,K2MID,440.800000,+,5.000000,Tone,141.3,88.5,023,NN,FM,5.00,,,,,,
64,K2ETS,443.150000,+,5.000000,Tone,141.3,88.5,023,NN,FM,5.00,,,,,,
65,K2GE,443.200000,+,5.000000,Tone,141.3,88.5,023,NN,FM,5.00,,,,,,
66,KA2RLM,443.400000,+,5.000000,Tone,141.3,88.5,023,NN,FM,5.00,,,,,,
67,WB2SNN,443.550000,+,5.000000,Tone,141.3,88.5,023,NN,FM,5.00,,,,,,
68,NE2E,444.250000,+,5.000000,Tone,123.0,88.5,023,NN,FM,5.00,,,,,,
69,K2ODP,444.400000,+,5.000000,Tone,141.3,88.5,023,NN,FM,5.00,,,,,,
70,W2CJA,446.180000,-,5.000000,Tone,162.2,88.5,023,NN,FM,5.00,,,,,,
71,KC2CWP,449.280000,-,5.000000,Tone,151.4,88.5,023,NN,FM,5.00,,,,,,
72,KC2QVK,442.150000,+,5.000000,Tone,94.8,88.5,023,NN,FM,5.00,,,,,,
73,N2DR,448.725000,-,5.000000,Tone,151.4,88.5,023,NN,FM,5.00,,,,,,
74,WS2Q,443.250000,+,5.000000,Tone,141.3,88.5,023,NN,FM,5.00,,,,,,
75,WB2CMK,449.175000,-,5.000000,Tone,141.3,88.5,023,NN,FM,5.00,,,,,,
76,N2NSV,444.500000,+,5.000000,Tone,131.8,88.5,023,NN,FM,5.00,,,,,,
77,WA2OCN,444.950000,+,5.000000,Tone,141.3,88.5,023,NN,FM,5.00,,,,,,
78,N3MSK,445.725000,-,5.000000,Tone,141.3,88.5,023,NN,FM,5.00,,,,,,
79,N2IKJ,447.125000,-,5.000000,Tone,141.3,88.5,023,NN,FM,5.00,,,,,,
80,WA2OCN,448.180000,-,5.000000,Tone,141.3,88.5,023,NN,FM,5.00,,,,,,
81,KB2OOJ,448.525000,-,5.000000,Tone,127.3,88.5,023,NN,FM,5.00,,,,,,
82,NJ5R,444.700000,+,5.000000,Tone,88.5,88.5,023,NN,FM,5.00,,,,,,
83,W2NJR,445.025000,-,5.000000,Tone,141.3,88.5,023,NN,FM,5.00,,,,,,
84,N2PSU,445.925000,-,5.000000,Tone,141.3,88.5,023,NN,FM,5.00,,,,,,
85,W2FCC,446.375000,-,5.000000,Tone,141.3,88.5,023,NN,FM,5.00,,,,,,
86,W2LI,449.975000,-,5.000000,Tone,141.3,88.5,023,NN,FM,5.00,,,,,,
87,KB2EAR,444.912500,+,5.000000,Tone,141.3,88.5,023,NN,FM,5.00,,,,,,
88,KB2EA,447.725000,-,5.000000,Tone,71.9,88.5,023,NN,FM,5.00,,,,,,
89,N3KZ,442.850000,+,5.000000,Tone,131.8,88.5,023,NN,FM,5.00,,,,,,
90,K2EPD,448.925000,-,5.000000,Tone,141.3,88.5,023,NN,FM,5.00,,,,,,
91,W2NJR,440.050000,+,5.000000,Tone,141.3,88.5,023,NN,FM,5.00,,,,,,
92,W2CTL,446.625000,-,5.000000,Tone,141.3,88.5,023,NN,FM,5.00,,,,,,
93,N2YLD,449.825000,-,5.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
94,N2SMI,441.750000,+,5.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
95,K2ZV,447.675000,-,5.000000,Tone,136.5,88.5,023,NN,FM,5.00,,,,,,
96,WB2CMN,442.400000,+,5.000000,Tone,141.3,88.5,023,NN,FM,5.00,,,,,,
97,W2MCC,440.400000,+,5.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
98,NJ2DG,441.400000,+,5.000000,DTCS,88.5,88.5,054,NN,FM,5.00,,,,,,
99,KD2ARB,442.800000,+,5.000000,Tone,123.0,88.5,023,NN,FM,5.00,,,,,,
100,W2LPC,445.275000,-,5.000000,Tone,67.0,88.5,023,NN,FM,5.00,,,,,,
101,FRS1,462.562500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
102,FRS2,462.587500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
103,FRS3,462.612500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
104,FRS4,462.637500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
105,FRS5,462.662500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
106,FRS6,462.687500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
107,FRS7,462.712500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
108,FRS8,467.562500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
109,FRS9,467.587500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
110,FRS10,467.612500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
111,FRS11,467.637500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
112,FRS12,467.662500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
113,FRS13,467.687500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
114,FRS14,467.712500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
115,GMRS1,462.550000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
116,GMRS2,462.575000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
117,GMRS3,462.600000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
118,GMRS4,462.625000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
119,GMRS5,462.650000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
120,GMRS6,462.675000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
121,GMRS7,462.700000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
122,GMRS8,462.725000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
125,MP-FDE,453.700000,,0.000000,Tone,114.8,88.5,023,NN,NFM,5.00,,,,,,
126,MP-PD1,154.815000,,0.000000,Tone,114.8,88.5,023,NN,FM,5.00,,,,,,
127,MP-PD2,155.570000,,0.000000,Tone,114.8,88.5,023,NN,NFM,5.00,,,,,,
