Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL
1,WB2RRA,147.165000,+,0.600000,Tone,114.8,88.5,023,NN,FM,5.00,,,,,,
2,S.I. RE,440.550000,+,5.000000,Tone,141.3,88.5,023,NN,FM,5.00,,,,,,
3,2M CALL,146.520000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
4,70CM CA,446.000000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
5,NJIT K2,147.225000,+,0.600000,Tone,141.3,88.5,023,NN,FM,5.00,,,,,,
6,WABC 88,450.512500,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
7,WEARC,146.415000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
8,MCR-REP,447.225000,-,5.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
9,ECRACES,447.875000,-,5.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
10,APRSREP,144.390000,+,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
11,APRSSIM,144.390000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
12,HARRIS,449.550000,-,5.000000,Tone,141.3,88.5,023,NN,FM,5.00,,,,,,
21,FRS1,462.562500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
22,FRS2,462.587500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
23,FRS3,462.612500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
24,FRS4,462.637500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
25,FRS5,462.662500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
26,FRS6,462.687500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
27,FRS7,462.712500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
28,FRS8,467.562500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
29,FRS9,467.587500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
30,FRS10,467.612500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
31,FRS11,467.637500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
32,FRS12,467.662500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
33,FRS13,467.687500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
34,FRS14,467.712500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
