Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
1,,430.000000,,5.000000,,100.0,88.5,023,NN,FM,25.00,,,,,,
2,WB2RRA,147.165000,+,0.600000,Tone,114.8,88.5,023,NN,FM,5.00,,,,,,
3,SI R,440.550000,+,5.000000,Tone,141.3,88.5,023,NN,FM,5.00,,,,,,
4,2M CAL,146.520000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
5,70CM C,446.000000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
6,NJIT K,147.225000,+,0.600000,Tone,141.3,88.5,023,NN,FM,5.00,,,,,,
7,WABC 8,450.512500,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
8,WEARC,146.415000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
9,MCR-RE,447.225000,-,5.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
10,ECRACE,447.875000,-,5.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
11,APRSRE,144.390000,+,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
12,APRSSI,144.390000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
13,HARRIS,449.550000,-,5.000000,Tone,141.3,88.5,023,NN,FM,5.00,,,,,,
17,PSK-2M,144.145000,,0.000000,,88.5,88.5,023,NN,AM,5.00,,,,,,
18,PSK-70,432.200000,,0.000000,,88.5,88.5,023,NN,AM,5.00,,,,,,
22,FRS1,462.562500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
23,FRS2,462.587500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
24,FRS3,462.612500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
25,FRS4,462.637500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
