Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
1,WA2IAF,146.880000,-,0.600000,Tone,141.3,88.5,023,NN,FM,5.00,,,,,,
2,WA2JSB,146.415000,split,147.415000,Tone,85.4,88.5,023,NN,FM,5.00,,,,,,
3,NE2S,146.595000,split,147.595000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
4,K2MFF,147.225000,+,0.600000,Tone,141.3,88.5,023,NN,FM,5.00,,,,,,
5,WB2MFC,147.285000,+,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
6,KB2RQE,145.310000,-,0.600000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
7,W2ODV,145.430000,-,0.600000,Tone,123.0,88.5,023,NN,FM,5.00,,,,,,
8,W2MER,147.105000,+,0.600000,Tone,123.0,88.5,023,NN,FM,5.00,,,,,,
9,K2GE,146.760000,-,0.600000,Tone,156.7,88.5,023,NN,FM,5.00,,,,,,
10,W2CJA,147.120000,+,0.600000,Tone,162.2,88.5,023,NN,FM,5.00,,,,,,
11,N2DR,145.485000,-,0.600000,Tone,151.4,88.5,023,NN,FM,5.00,,,,,,
12,WS2Q,145.370000,-,0.600000,Tone,151.4,88.5,023,NN,FM,5.00,,,,,,
13,WS2Q,146.895000,-,0.600000,Tone,151.4,88.5,023,NN,FM,5.00,,,,,,
14,WB2BQW,145.250000,-,0.600000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
15,W2QW,146.625000,-,0.600000,Tone,103.5,88.5,023,NN,FM,5.00,,,,,,
16,K2ETS,146.940000,-,0.600000,Tone,141.3,88.5,023,NN,FM,5.00,,,,,,
17,W2JDS,145.410000,-,0.600000,Tone,107.2,88.5,023,NN,FM,5.00,,,,,,
18,WA2ZDN,146.685000,-,0.600000,Tone,123.0,88.5,023,NN,FM,5.00,,,,,,
19,W2LI,147.255000,+,0.600000,Tone,141.3,88.5,023,NN,FM,5.00,,,,,,
20,WA2BAT,147.505000,split,146.505000,Tone,123.0,88.5,023,NN,FM,5.00,,,,,,
21,K2NJ,147.135000,+,0.600000,Tone,151.4,88.5,023,NN,FM,5.00,,,,,,
22,N2RE,146.460000,+,0.600000,Tone,131.8,88.5,023,NN,FM,5.00,,,,,,
23,W2RLA,145.350000,-,0.600000,Tone,114.8,88.5,023,NN,FM,5.00,,,,,,
24,W2NJR,147.285000,+,0.600000,Tone,141.3,88.5,023,NN,FM,5.00,,,,,,
25,K2DCG,147.210000,+,0.600000,Tone,88.5,88.5,023,NN,FM,5.00,,,,,,
26,KD2HQY,145.120000,-,0.600000,Tone,91.5,88.5,023,NN,FM,5.00,,,,,,
27,NJ2SP,146.970000,-,0.600000,Tone,97.4,88.5,023,NN,FM,5.00,,,,,,
50,W2RJR,223.840000,-,1.600000,Tone,141.3,88.5,023,NN,FM,5.00,,,,,,
51,NE2E,224.020000,-,1.600000,Tone,123.0,88.5,023,NN,FM,5.00,,,,,,
52,KE2TT,224.220000,-,1.600000,Tone,74.4,88.5,023,NN,FM,5.00,,,,,,
